"EMPLOYEE_ID","FIRST_NAME","LAST_NAME","EMAIL","PHONE_NUMBER","HIRE_DATE","SALARY","COMMISSION_PCT","MANAGER_ID"
100,"Steven","King","SKING","515.123.4567",03.06.17,24000,,
101,"Neena","Kochhar","NKOCHHAR","515.123.4568",05.09.21,17000,,100
102,"Lex","De Haan","LDEHAAN","515.123.4569",01.01.13,17000,,100
103,"Alexander","Hunold","AHUNOLD","590.423.4567",06.01.03,9000,,102
104,"Bruce","Ernst","BERNST","590.423.4568",07.05.21,6000,,103
105,"David","Austin","DAUSTIN","590.423.4569",05.06.25,4800,,103
106,"Valli","Pataballa","VPATABAL","590.423.4560",06.02.05,4800,,103
107,"Diana","Lorentz","DLORENTZ","590.423.5567",07.02.07,4200,,103
108,"Nancy","Greenberg","NGREENBE","515.124.4569",02.08.17,12008,,101
109,"Daniel","Faviet","DFAVIET","515.124.4169",02.08.16,9000,,108
110,"John","Chen","JCHEN","515.124.4269",05.09.28,8200,,108
111,"Ismael","Sciarra","ISCIARRA","515.124.4369",05.09.30,7700,,108
112,"Jose Manuel","Urman","JMURMAN","515.124.4469",06.03.07,7800,,108
113,"Luis","Popp","LPOPP","515.124.4567",07.12.07,6900,,108
114,"Den","Raphaely","DRAPHEAL","515.127.4561",02.12.07,11000,,100
115,"Alexander","Khoo","AKHOO","515.127.4562",03.05.18,3100,,114
116,"Shelli","Baida","SBAIDA","515.127.4563",05.12.24,2900,,114
117,"Sigal","Tobias","STOBIAS","515.127.4564",05.07.24,2800,,114
118,"Guy","Himuro","GHIMURO","515.127.4565",06.11.15,2600,,114
119,"Karen","Colmenares","KCOLMENA","515.127.4566",07.08.10,2500,,114
120,"Matthew","Weiss","MWEISS","650.123.1234",04.07.18,8000,,100
121,"Adam","Fripp","AFRIPP","650.123.2234",05.04.10,8200,,100
122,"Payam","Kaufling","PKAUFLIN","650.123.3234",03.05.01,7900,,100
123,"Shanta","Vollman","SVOLLMAN","650.123.4234",05.10.10,6500,,100
124,"Kevin","Mourgos","KMOURGOS","650.123.5234",07.11.16,5800,,100
125,"Julia","Nayer","JNAYER","650.124.1214",05.07.16,3200,,120
126,"Irene","Mikkilineni","IMIKKILI","650.124.1224",06.09.28,2700,,120
127,"James","Landry","JLANDRY","650.124.1334",07.01.14,2400,,120
128,"Steven","Markle","SMARKLE","650.124.1434",08.03.08,2200,,120
